Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Kertu,www,postPlay,,/watch/70274147?trackId=155573560,2021-10-19 17:54:32
Kertu,www,playback,/watch/70274147?trackId=155573560,/watch/70274148?trackId=155573560,2021-10-19 17:54:32
Kertu,www,postPlay,/browse,/watch/70274146?trackId=14170286&tctx=1%2C0%2C977b3179-cbe2-428a-b358-10bc527a5b83-39907306%2C37f84df8-061f-401e-a4f7-d1fa0cea6314_38767979X3XX1634656364320%2C%2C,2021-10-19 15:26:01
Kertu,www,playback,/watch/70274146?trackId=14170286&tctx=1%2C0%2C977b3179-cbe2-428a-b358-10bc527a5b83-39907306%2C37f84df8-061f-401e-a4f7-d1fa0cea6314_38767979X3XX1634656364320%2C%2C,/watch/70274147?trackId=155573560,2021-10-19 15:26:01
Kertu,www,browseTitles,,/browse,2021-10-19 15:12:50
Kertu,www,playback,/browse,/watch/70274146?trackId=14170286&tctx=1%2C0%2C977b3179-cbe2-428a-b358-10bc527a5b83-39907306%2C37f84df8-061f-401e-a4f7-d1fa0cea6314_38767979X3XX1634656364320%2C%2C,2021-10-19 15:12:50
Kertu,www,profilesGate,,/browse,2021-10-19 15:12:44
Kertu,www,browseTitles,,/browse,2021-10-19 15:12:44
Kertu,www,postPlay,/watch/70274144?trackId=155573560,/watch/70274145?trackId=155573560,2021-10-19 09:52:23
Kertu,www,playback,/watch/70274145?trackId=155573560,/watch/70274146?trackId=155573560,2021-10-19 09:52:23
Kertu,www,postPlay,/watch/70274143?trackId=14170286&tctx=1%2C0%2C3169a358-75b1-4b99-b72f-c3fc682a597f-48809526%2C609a4273-395c-49bf-a2b3-80ef14181893_19796733X3XX1634633920800%2C%2C,/watch/70274144?trackId=155573560,2021-10-19 09:31:46
Kertu,www,playback,/watch/70274144?trackId=155573560,/watch/70274145?trackId=155573560,2021-10-19 09:31:46
Kertu,www,postPlay,/browse,/watch/70274143?trackId=14170286&tctx=1%2C0%2C3169a358-75b1-4b99-b72f-c3fc682a597f-48809526%2C609a4273-395c-49bf-a2b3-80ef14181893_19796733X3XX1634633920800%2C%2C,2021-10-19 09:10:28
Kertu,www,playback,/watch/70274143?trackId=14170286&tctx=1%2C0%2C3169a358-75b1-4b99-b72f-c3fc682a597f-48809526%2C609a4273-395c-49bf-a2b3-80ef14181893_19796733X3XX1634633920800%2C%2C,/watch/70274144?trackId=155573560,2021-10-19 09:10:28
Kertu,www,browseTitles,,/browse,2021-10-19 08:58:45
Kertu,www,playback,/browse,/watch/70274143?trackId=14170286&tctx=1%2C0%2C3169a358-75b1-4b99-b72f-c3fc682a597f-48809526%2C609a4273-395c-49bf-a2b3-80ef14181893_19796733X3XX1634633920800%2C%2C,2021-10-19 08:58:45
Kertu,www,profilesGate,,/browse,2021-10-19 08:58:41
Kertu,www,browseTitles,,/browse,2021-10-19 08:58:41
Kertu,www,postPlay,/watch/70274141?trackId=14170286&tctx=1%2C0%2Cbccc214a-6b1b-42ef-9626-852d47a69ae5-18911188%2Ce12def10-7489-4c89-9055-fbe8333235b5_11966644X3XX1634623305073%2C%2C,/watch/70274142?trackId=155573560,2021-10-19 06:46:00
Kertu,www,playback,/watch/70274142?trackId=155573560,/watch/70274143?trackId=155573560,2021-10-19 06:46:00
