Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:9d0f:1644:b71f:d59b,Harju,2021-04-03T18:50:12.726Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-04-03T18:50:07.075Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8413:d380:b9c0:24c0:e9f:6b21,Harju,2021-04-03T18:04:48.942Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:9d0f:1644:b71f:d59b,Harju,2021-04-03T17:40:44.117Z
NFCDSF-01-DTCX8M3F9AD3787W24LV5ANWUF44Y7,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8413:d380:8491:9101:2f32:228e,Harju,2021-04-03T17:33:07.027Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-04-03T15:44:19.995Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:9d0f:1644:b71f:d59b,Harju,2021-04-03T15:09:19.158Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:9d0f:1644:b71f:d59b,Harju,2021-04-03T15:09:19.146Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-04-03T12:07:09.442Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:9d0f:1644:b71f:d59b,Harju,2021-04-03T11:28:01.380Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-04-03T11:14:22.531Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-04-03T11:14:22.520Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8413:d380:3882:45b:6899:c71f,Harju,2021-04-03T10:53:45.227Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,213.35.184.210,Harju,2021-04-03T07:34:19.460Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.51.205,Harju,2021-04-03T07:33:40.948Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8413:d380:1504:9db8:35f1:968,Harju,2021-04-03T05:53:04.961Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:9d0f:1644:b71f:d59b,Harju,2021-04-02T19:44:21.248Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:9d0f:1644:b71f:d59b,Harju,2021-04-02T19:44:21.235Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-04-02T19:28:01.952Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:3ca6:7368:22f7:1b9a,Harju,2021-04-02T19:27:38.622Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-04-02T19:27:30.355Z
