Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-10-20T20:53:20.305Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.32.146,Harju,2021-10-20T17:39:34.202Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,CZ,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,178.17.11.162,"Prague, Hlavní mešto",2021-10-19T20:16:07.716Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,NL,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),84.26.44.145,Limburg,2021-10-19T18:21:26.107Z
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-10-17T19:19:13.963Z
NFCDSF-01-HPRN6WWR1QF5228L9QQW29R74Y60Q6,NL,Safari MAC (Cadmium),Safari MAC (Cadmium),84.26.44.145,Limburg,2021-10-17T16:53:48.496Z
NFCDSF-01-HPRN6WWR1QF5228L9QQW29R74Y60Q6,NL,Safari MAC (Cadmium),Safari MAC (Cadmium),84.26.44.145,Limburg,2021-10-17T16:53:04.757Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.27.211,Unknown,2021-10-17T16:37:16.994Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8415:8a80:e908:b2be:c70b:9e3,Harju,2021-10-17T12:17:04.443Z
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:e0b5:d92d:ddf1:24db,Harju,2021-10-16T20:42:30.604Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,195.250.190.242,Harju,2021-10-15T15:09:06.151Z
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:e0b5:d92d:ddf1:24db,Harju,2021-10-14T20:08:16.601Z
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-10-14T15:15:43.025Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,94.246.210.123,Unknown,2021-10-14T04:51:01.868Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.38.148,Unknown,2021-10-13T17:36:28.915Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,CZ,Safari MAC (Cadmium),Safari MAC (Cadmium),178.17.11.162,"Prague, Hlavní mešto",2021-10-12T19:30:02.140Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,CZ,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,178.17.11.162,"Prague, Hlavní mešto",2021-10-11T20:19:12.089Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:4049:296e:83a0:d688,Harju,2021-10-09T20:38:24.486Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,94.246.210.123,Unknown,2021-10-09T01:18:43.677Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:564:43ed:5dad:25cc,Harju,2021-10-08T19:21:45.621Z
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-10-08T14:01:25.736Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,94.246.210.123,Unknown,2021-10-06T18:13:53.957Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-10-06T17:47:49.110Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,LV,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,195.13.211.100,Riga,2021-10-05T19:00:12.505Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:8186:86a5:fc17:8b58,Harju,2021-10-03T19:21:26.224Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,EE,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,2001:7d0:8415:8a80:ed87:1b61:2c22:4ba9,Harju,2021-09-30T19:46:47.899Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:19dd:4cdc:88a5:3196,Harju,2021-09-29T19:49:23.660Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:38a3:f0c9:54e4:e0db,Harju,2021-09-27T18:35:51.155Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-09-27T18:14:32.416Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8415:8a80:2504:217d:3a9c:a6d9,Harju,2021-09-26T06:49:16.357Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:cc37:6bf2:67f9:2d76,Harju,2021-09-25T08:22:53.729Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:494b:3689:5701:61a0,Harju,2021-09-24T21:03:13.998Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-09-24T06:43:34.767Z
NFCDCH-MC-HKN228UAX1L85T30HA8FX5EJ3K6TJD,EE,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2001:7d0:8415:8a80:6dda:c262:deec:15f7,Harju,2021-09-23T19:22:53.659Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,94.246.210.123,Unknown,2021-09-22T08:13:27.926Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,EE,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,2001:7d0:8415:8a80:c583:1a76:b0d8:226e,Harju,2021-09-19T17:22:16.865Z
NFCDCH-MC-HKN228UAX1L85T30HA8FX5EJ3K6TJD,EE,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2001:7d0:8415:8a80:b542:fb07:121b:b7a8,Harju,2021-09-17T19:43:15.629Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:7514:479a:f16a:2e69,Harju,2021-09-12T18:50:48.193Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,EE,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,2001:7d0:8415:8a80:cc70:fe3c:308:8f38,Harju,2021-09-11T17:59:43.218Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:64a0:432b:b32f:180e,Harju,2021-09-10T20:22:29.348Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-09-10T00:18:35.633Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),46.131.35.196,Harju,2021-09-09T13:34:01.920Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-09-09T04:42:48.265Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.35.196,Harju,2021-09-08T14:19:50.364Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,LV,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,159.148.28.10,Riga,2021-09-07T20:04:32.304Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,LV,Safari MAC (Cadmium),Safari MAC (Cadmium),159.148.28.10,Riga,2021-09-06T20:50:50.157Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-09-05T20:34:06.918Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,NL,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),84.26.44.145,Limburg,2021-09-05T07:02:55.582Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:d930:6f2d:63f4:6a3,Harju,2021-09-04T15:41:05.556Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-09-04T01:31:51.708Z
NFCDCH-MC-HKN228UAX1L85T30HA8FX5EJ3K6TJD,NL,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,84.26.44.145,Limburg,2021-09-01T18:24:36.333Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-09-01T11:27:35.440Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),217.159.203.119,Unknown,2021-09-01T10:28:17.713Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.29.204,Unknown,2021-09-01T07:46:26.956Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,NL,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),212.120.125.251,Limburg,2021-08-31T16:56:36.904Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),46.131.22.206,Harju,2021-08-31T07:34:34.524Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,NL,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,212.120.125.251,Limburg,2021-08-30T21:08:16.068Z
NFCDCH-MC-HKN228UAX1L85T30HA8FX5EJ3K6TJD,NL,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,212.120.125.251,Limburg,2021-08-29T15:56:40.585Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),46.131.22.206,Harju,2021-08-29T13:44:43.396Z
NFCDSF-01-HGHM8Y8TPG0DCRTN7E3WL9YX6C6LV5,NL,Safari MAC (Cadmium),Safari MAC (Cadmium),212.120.125.251,Limburg,2021-08-29T07:39:35.839Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:185:b08:984e:2b46,Harju,2021-08-28T21:01:56.796Z
NFCDCH-MC-HKN228UAX1L85T30HA8FX5EJ3K6TJD,NL,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,212.120.125.251,Limburg,2021-08-28T19:03:10.061Z
NFCDCH-MC-HKN228UAX1L85T30HA8FX5EJ3K6TJD,NL,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,212.120.125.251,Limburg,2021-08-28T19:02:57.513Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,BE,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,94.107.214.52,Brussels,2021-08-27T21:14:52.487Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,NL,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,212.120.125.251,Limburg,2021-08-26T20:45:55.460Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:f586:da33:aacb:eb03,Harju,2021-08-26T18:40:31.974Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,NL,Safari MAC (Cadmium),Safari MAC (Cadmium),212.120.125.251,Limburg,2021-08-26T18:13:03.658Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8415:8a80:4d7c:c005:ab48:c468,Harju,2021-08-26T05:54:53.370Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:4d98:fd11:53e2:c1d,Harju,2021-08-25T14:58:12.958Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,NL,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),212.120.125.251,Limburg,2021-08-24T19:29:31.285Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:4d98:fd11:53e2:c1d,Harju,2021-08-24T19:18:52.273Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8415:8a80:4d7c:c005:ab48:c468,Harju,2021-08-24T16:56:47.179Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),46.131.28.255,Harju,2021-08-24T16:33:07.853Z
NFCDSF-01-HGHM8Y8TPG0DCRTN7E3WL9YX6C6LV5,NL,Safari MAC (Cadmium),Safari MAC (Cadmium),212.120.125.251,Limburg,2021-08-24T12:00:54.746Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,NL,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,212.120.125.251,Limburg,2021-08-23T19:57:31.446Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:4960:83dd:a9a7:4ad2,Harju,2021-08-23T19:35:07.401Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,NL,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),212.120.125.251,Limburg,2021-08-23T19:00:37.474Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),46.131.36.182,Unknown,2021-08-23T16:07:21.109Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,DE,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,212.144.116.114,Lower Saxony,2021-08-22T20:07:43.791Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:1885:546c:96af:67a2,Harju,2021-08-22T14:31:59.627Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),84.50.125.188,Harju,2021-08-22T12:21:07.556Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:8964:5eb2:26a:b2e,Harju,2021-08-22T11:01:12.204Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),46.131.36.182,Unknown,2021-08-22T08:50:29.439Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:1161:cef9:be98:144a,Harju,2021-08-22T07:10:57.943Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,PL,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),81.18.218.190,Mazovia,2021-08-22T05:16:59.161Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,PL,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),81.18.218.190,Mazovia,2021-08-21T20:08:52.538Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:1161:cef9:be98:144a,Harju,2021-08-21T19:26:42.573Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:39e4:13d2:47d1:2e1e,Harju,2021-08-20T14:22:35.609Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:41f0:2107:9594:fe84,Harju,2021-08-20T13:33:36.027Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:b913:6e7f:fffd:62f0,Harju,2021-08-20T07:06:28.820Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:5545:7644:b286:1f04,Harju,2021-08-19T12:24:54.372Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8415:8a80:c84e:151a:a581:edcc,Harju,2021-08-18T20:09:44.738Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),90.191.110.162,Viljandi,2021-08-17T19:24:42.553Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:50bc:e921:1bb0:5679,Harju,2021-08-17T19:06:29.260Z
NFCDSF-01-HGHM8Y8TPG0DCRTN7E3WL9YX6C6LV5,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),194.204.33.28,Harju,2021-08-16T15:33:46.812Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8415:8a80:4515:616d:b709:ff06,Harju,2021-08-16T08:16:25.903Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:157b:c666:4691:292b,Harju,2021-08-15T08:47:41.398Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8415:8a80:686e:86fb:a3f5:679b,Harju,2021-08-12T19:14:13.958Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8415:8a80:4542:a57d:15db:c1bc,Harju,2021-08-11T19:46:36.025Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,84.50.125.188,Harju,2021-08-11T18:56:39.203Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,84.50.125.188,Harju,2021-08-10T20:21:00.234Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8415:8a80:4542:a57d:15db:c1bc,Harju,2021-08-10T19:07:47.953Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:2c21:36d3:6d86:ec43,Harju,2021-08-10T17:04:55.800Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:d46:731a:4745:5493,Harju,2021-08-10T15:38:34.180Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.48.151,Harju,2021-08-10T15:02:10.410Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.54.230,Harju,2021-08-10T14:13:03.898Z
NFCDSF-01-HGHM8Y8TPG0DCRTN7E3WL9YX6C6LV5,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:c52e:5149:45aa:af95,Harju,2021-08-10T12:50:20.595Z
NFCDSF-01-HGHM8Y8TPG0DCRTN7E3WL9YX6C6LV5,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:a50a:78bd:b003:30d,Harju,2021-08-10T09:11:07.945Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:a1ff:740c:22c9:34f7,Harju,2021-08-10T08:48:51.595Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:60da:f86a:3c26:7097,Harju,2021-08-10T07:42:12.573Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:407b:882b:f36d:2ec8,Harju,2021-08-09T19:12:55.686Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8415:8a80:80b4:402b:97b9:adf2,Harju,2021-08-09T17:38:54.296Z
NFCDSF-01-HGHM8Y8TPG0DCRTN7E3WL9YX6C6LV5,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:a50a:78bd:b003:30d,Harju,2021-08-09T12:14:54.377Z
NFCDSF-01-HGHM8Y8TPG0DCRTN7E3WL9YX6C6LV5,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:858d:8943:d9d5:793b,Harju,2021-08-09T11:30:00.538Z
