Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Jaanika,NFAPPL-03-APPLETV2=1-AA1034CC31DFC3FD4154E569E7395B263357FA335C4615C27A0186AA4477A6C1,Apple TV 2,2019-11-16T18:45:27.124Z,2021-08-04T19:10:21.138Z,2019-11-16T18:45:27.124Z,2021-08-04T19:10:21.138Z,2020-05-02T17:02:31.867Z,2020-05-02T17:05:33.157Z,2020-05-02T17:02:31.867Z,2020-05-02T17:05:33.157Z,
Kertu,NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,Apple iPhone 8 Plus (GSM),2019-11-04T17:41:11.170Z,2021-10-19T19:52:07.637Z,2019-11-04T17:41:11.170Z,2021-10-19T19:52:07.637Z,2019-11-04T21:41:48.884Z,2019-11-04T21:54:49.822Z,2019-11-04T21:41:48.884Z,2019-11-04T21:54:49.822Z,
Kertu,NFAPPL-03-APPLETV3=2-BD23FBDDF02DE8594A104ED57E5AA1CF11B421D28CE90D211C709DE7FDD88768,Apple TV 3 (revised),2020-11-27T21:29:29.031Z,2020-11-27T21:29:29.031Z,2020-11-27T21:29:29.031Z,2020-11-27T21:29:29.031Z,2020-11-27T21:29:29.031Z,2020-11-27T21:29:29.031Z,2020-11-27T21:29:29.031Z,2020-11-27T21:29:29.031Z,
Agur,NFCDCH-MC-GDZL33PADKUKW7MMQ6GM3D2U16D6WN,Netflix Chrome MAC (Cadmium) HTML 5,2020-05-28T14:36:38.160Z,2020-08-16T20:30:16.211Z,2020-05-28T14:36:38.160Z,2020-08-16T20:30:16.211Z,2020-05-28T14:36:38.160Z,2020-08-16T20:30:16.211Z,2020-05-28T14:36:38.160Z,2020-08-16T20:30:16.211Z,
Jaanika,NFCDSF-01-FKLVQLNRUDRVLJHM4CMGJA6L47MUR1,Safari MAC (Cadmium),2020-05-02T15:03:23.641Z,2020-08-01T19:51:30.331Z,2020-05-02T15:03:23.641Z,2020-08-01T19:51:30.331Z,2020-05-02T15:03:23.641Z,2020-08-01T19:51:30.331Z,2020-05-02T15:03:23.641Z,2020-08-01T19:51:30.331Z,
Agur,NFAPPL-02-IPHONE12=3-A273CF9BE943007778F751A4688AA02AE5994B95D5D35A226BAFD94D995F84A5,Apple iPhone 11 Pro,2020-04-24T21:06:11.960Z,2020-07-12T21:00:33.946Z,2020-04-24T21:06:11.960Z,2020-07-12T21:00:33.946Z,2020-04-24T21:06:11.960Z,2020-07-12T21:00:33.946Z,2020-04-24T21:06:11.960Z,2020-07-12T21:00:33.946Z,
Agur,NFCDSF-01-DT998GX2UYPMK3PX0LK6EH2N9FHWQT,Safari MAC (Cadmium),2019-11-09T19:04:18.675Z,2020-05-18T09:59:32.844Z,2019-11-09T19:04:18.675Z,2020-05-18T09:59:32.844Z,2019-11-09T19:04:18.675Z,2020-05-18T09:59:32.844Z,2019-11-09T19:04:18.675Z,2020-05-18T09:59:32.844Z,
Kertu,NFAPPL-02-IPHONE9=4-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,Apple iPhone 7 Plus (GSM),2019-10-22T17:44:00.314Z,2020-03-10T14:32:50.555Z,2019-10-22T17:44:00.314Z,2020-03-10T14:32:50.555Z,2019-10-22T17:44:00.314Z,2020-03-10T14:32:50.555Z,2019-10-22T17:44:00.314Z,2020-03-10T14:32:50.555Z,
Agur,NFAPPL-02-IPHONE9=4-A273CF9BE943007778F751A4688AA02AE5994B95D5D35A226BAFD94D995F84A5,Apple iPhone 7 Plus (GSM),2019-11-04T13:43:59.954Z,2020-03-07T14:31:38.065Z,2019-11-04T13:43:59.954Z,2020-03-07T14:31:38.065Z,2019-11-04T13:43:59.954Z,2020-03-07T14:31:38.065Z,2019-11-04T13:43:59.954Z,2020-03-07T14:31:38.065Z,
Agur,NFCDSF-01-FTMGNNHR1NGPQMYTYWRW2MQJN9Q1AM,Safari MAC (Cadmium),2019-10-26T19:17:38.140Z,2019-12-28T23:22:05.679Z,2019-10-26T19:17:38.140Z,2019-12-28T23:22:05.679Z,2019-10-26T19:17:38.140Z,2019-12-28T23:22:05.679Z,2019-10-26T19:17:38.140Z,2019-12-28T23:22:05.679Z,
Agur,NFAPPL-03-APPLETV2=1-AA1034CC31DFC3FD4154E569E7395B263357FA335C4615C27A0186AA4477A6C1,Apple TV 2,2019-11-16T18:45:27.124Z,2021-08-04T19:10:21.138Z,2019-11-16T18:45:27.124Z,2021-08-04T19:10:21.138Z,2019-12-28T12:04:14.841Z,2019-12-28T12:30:22.357Z,2019-12-28T12:04:14.841Z,2019-12-28T12:30:22.357Z,
Kertu,SSTV-KTM1-0000000000000001641142,Samsung 2017 Kant-M UHD TV Smart TV,2019-11-29T15:13:34.936Z,2019-11-29T15:29:36.226Z,2019-11-29T15:13:34.936Z,2019-11-29T15:29:36.226Z,2019-11-29T15:13:34.936Z,2019-11-29T15:29:36.226Z,2019-11-29T15:13:34.936Z,2019-11-29T15:29:36.226Z,
