Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Kertu,EE,iPhone,0,hot summer nights,You Get Me,play,video_info,2019-05-06 18:39:50
Kertu,EE,iPhone,0,hot summer nights,You Get Me,view_video_info,title_results,2019-05-06 18:39:46
Kertu,EE,iPhone,0,da vinc,The Da Vinci Code,play,video_info,2019-04-26 07:30:17
Kertu,EE,iPhone,0,da vinc,The Da Vinci Code,view_video_info,title_results,2019-04-26 07:30:16
Kertu,US,HTML 5,0,princess diares,The Little Mermaid,play,video_info,2019-03-24 12:52:49
Kertu,US,HTML 5,0,princess diares,The Little Mermaid,view_video_info,title_results,2019-03-24 12:51:33
Kertu,EE,HTML 5,0,icarus,Icarus,play,video_info,2019-03-01 20:07:24
Kertu,EE,HTML 5,0,icarus,Icarus,view_video_info,title_results,2019-03-01 20:07:21
Kertu,EE,iPhone,0,narco,Countdown to Death: Pablo Escobar,view_video_info,title_results,2019-01-21 20:05:44
Kertu,EE,iPhone,0,narco,Surviving Escobar - Alias JJ,view_video_info,title_results,2019-01-21 20:05:34
Kertu,EE,iPhone,0,narco,Narcos: Mexico,view_video_info,title_results,2019-01-21 20:05:11
Kertu,EE,iPhone,0,narco,Narcos,view_video_info,title_results,2019-01-21 20:05:00
Kertu,EE,iPhone,0,narco,Narcos: Mexico,view_video_info,title_results,2019-01-21 20:04:55
Kertu,EE,HTML 5,0,oceans 8,Ocean's Eight,view_suggestion_info,suggestion_results,2018-12-28 16:06:37
Kertu,US,HTML 5,0,supergirl,Supergirl,view_video_info,title_results,2018-12-15 13:28:59
Kertu,EE,HTML 5,0,beauty,Beauty and the Beast (2017),view_suggestion_info,suggestion_results,2018-12-12 20:07:00
Kertu,EE,HTML 5,0,grinch,The Polar Express,view_video_info,title_results,2018-12-08 18:12:12
Kertu,EE,HTML 5,0,grinch,The Princess Switch,view_video_info,title_results,2018-12-08 18:09:55
Kertu,EE,HTML 5,0,grinch,Elf,view_video_info,title_results,2018-12-08 18:07:03
Kertu,EE,iPhone,0,the arr,Arrow,view_video_info,title_results,2018-11-19 20:26:35
Kertu,EE,iPhone,0,teen wol,Teen Wolf,view_video_info,title_results,2018-11-14 14:57:41
Kertu,EE,iPhone,0,teen,Teen Wolf,view_video_info,title_results,2018-11-14 14:51:50
Kertu,EE,HTML 5,0,the arrow,Arrow,play,video_info,2018-10-21 12:13:35
Kertu,EE,HTML 5,0,the arrow,Arrow,view_video_info,title_results,2018-10-21 12:13:27
Kertu,EE,,0,teen,,play,title_results,2018-10-06 19:01:53
Kertu,EE,,0,friends,Friends,play,video_info,2018-09-10 18:37:26
Kertu,EE,,0,friends,Friends,view_video_info,title_results,2018-09-10 18:37:18
Kertu,EE,HTML 5,0,romeo and julia,teen wolf,view_video_info,title_results,2018-08-24 17:56:48
Kertu,EE,HTML 5,0,thes avenger ci,citizen toxie: the toxic avenger iv,view_suggestion_info,suggestion_results,2018-08-21 10:23:54
Kertu,EE,HTML 5,0,thes av,the avengers,view_suggestion_info,suggestion_results,2018-08-21 07:56:08
Kertu,EE,HTML 5,0,spiderman,man of steel,view_video_info,suggestion_title_results,2018-08-17 07:42:40
Kertu,EE,HTML 5,0,spiderman,superman returns,view_video_info,suggestion_title_results,2018-08-17 07:42:33
Kertu,EE,HTML 5,0,spiderman,spider-man: homecoming,view_suggestion_info,suggestion_results,2018-08-17 07:41:48
Kertu,EE,HTML 5,0,the greatest ,the greatest showman,view_suggestion_info,suggestion_results,2018-08-14 19:27:30
Kertu,EE,iPhone,0,strictly sexual,-1,view_video_info,title_results,2018-08-08 17:54:54
Kertu,EE,iPhone,0,strictly sexual,-1,view_video_info,title_results,2018-08-08 17:54:44
Kertu,EE,iPhone,0,ce,-1,play,video_info,2018-08-02 07:34:17
Kertu,EE,iPhone,0,ce,-1,view_video_info,title_results,2018-08-02 07:34:15
Kertu,EE,iPhone,0,ce,-1,view_video_info,title_results,2018-08-02 06:41:27
Kertu,EE,HTML 5,0,west side story,west side story,view_suggestion_info,suggestion_results,2018-08-01 19:42:50
Kertu,EE,HTML 5,0,nothing hill,notting hill,view_suggestion_info,suggestion_results,2018-08-01 19:41:14
Kertu,EE,HTML 5,0,mamma mia,mamma mia!,view_suggestion_info,suggestion_results,2018-08-01 19:40:52
Kertu,EE,HTML 5,0,mamma mia,mamma mia!: bonus material,view_suggestion_info,suggestion_results,2018-08-01 19:39:47
Kertu,EE,HTML 5,0,mamma mia,mamma mia!,view_suggestion_info,suggestion_results,2018-08-01 19:39:33
Kertu,UY,iPhone,0,ice age,shrek forever after,view_video_info,title_results,2018-06-27 23:55:22
Kertu,UY,iPhone,0,ice age,ice age: the meltdown,view_suggestion_info,suggestion_results,2018-06-27 23:55:13
Kertu,UY,iPhone,0,ice age,-1,view_video_info,title_results,2018-06-27 23:54:59
Kertu,UY,iPhone,0,ice age,-1,view_video_info,title_results,2018-06-27 23:54:43
Kertu,UY,iPhone,0,james bond,-1,view_video_info,title_results,2018-06-19 02:31:43
Kertu,UY,iPhone,0,gilm,-1,view_video_info,title_results,2018-06-13 21:17:07
Kertu,UY,iPhone,0,gilm,-1,play,video_info,2018-06-13 21:17:02
Kertu,UY,HTML 5,0,agentekc,k.c. undercover,play,title_results,2018-06-12 18:54:59
Kertu,UY,iPhone,0,friends,-1,play,video_info,2018-05-01 00:31:13
Kertu,UY,iPhone,0,friends,-1,view_video_info,title_results,2018-05-01 00:31:06
Kertu,UY,iPhone,0,la casa de,-1,view_video_info,title_results,2018-03-20 23:04:45
Kertu,UY,Laptop/Desktop,0,riverdale,gossip girl,play,video_info,2018-03-12 11:53:23
Kertu,UY,Laptop/Desktop,0,riverdale,gossip girl,view_video_info,title_results,2018-03-12 11:52:36
Kertu,UY,Laptop/Desktop,0,riverdale,dynasty,view_video_info,title_results,2018-03-12 11:52:31
Kertu,UY,Laptop/Desktop,0,riverdale,pretty little liars,view_video_info,title_results,2018-03-12 11:52:31
Kertu,UY,Laptop/Desktop,0,riverdale,riverdale,view_video_info,title_results,2018-03-12 11:52:19
Kertu,UY,Laptop/Desktop,0,riverdale,money heist,view_video_info,title_results,2018-03-12 11:52:07
Kertu,UY,Laptop/Desktop,0,riverd,friends,view_video_info,title_results,2018-03-03 03:31:13
Kertu,UY,Laptop/Desktop,0,riverd,riverdale,view_video_info,title_results,2018-03-03 03:24:43
Kertu,UY,Laptop/Desktop,0,la casa,la casa de papel,play,title_results,2018-02-27 01:23:11
Kertu,UY,Laptop/Desktop,0,the host,the host,view_video_info,title_results,2018-02-12 01:31:23
Kertu,UY,Laptop/Desktop,0,the host,the host,play,title_results,2018-02-12 01:31:21
Kertu,UY,Laptop/Desktop,0,the host,the host,play,title_results,2018-02-12 00:28:51
Kertu,UY,Laptop/Desktop,0,the host,the fosters,play,title_results,2018-02-12 00:28:27
Kertu,UY,Laptop/Desktop,0,the host,the fosters,view_video_info,title_results,2018-02-12 00:19:53
Kertu,UY,Laptop/Desktop,0,the host,the host,view_video_info,title_results,2018-02-12 00:19:22
Kertu,--,Laptop/Desktop,0,ouija,ouija,play,title_results,2018-02-09 03:15:20
Kertu,UY,iPhone,0,ouija,ouija,view_video_info,title_results,2018-02-09 02:25:45
Kertu,--,Laptop/Desktop,0,the mortal,the mortal instruments: city of bones,play,title_results,2018-02-08 21:15:55
Kertu,UY,iPhone,0,sex and the cu,-1,view_suggestion_info,suggestion_results,2018-02-06 03:18:49
Kertu,UY,iPhone,0,sex and the cu,-1,view_suggestion_info,suggestion_results,2018-02-06 03:07:33
Kertu,UY,iPhone,0,fifty sh,-1,view_suggestion_info,suggestion_results,2018-02-01 20:13:46
Kertu,UY,Laptop/Desktop,0,fr,friends,play,title_results,2018-01-24 01:00:18
Kertu,UY,Laptop/Desktop,0,da vinv,the da vinci code,play,title_results,2018-01-23 23:24:08
Kertu,UY,Laptop/Desktop,0,avatar,avatar: the last airbender,play,title_results,2018-01-20 19:53:31
